Sigle,Domaine,Définition,Info supplémentaire
"Alimentation 
Electrique 1
Généralités",Fonctionnement,"Les alimentations électriques : Les alimentations électriques. L’alimentation électrique joue un rôle primordial en termes de sûreté, car elle est
indispensable au fonctionnement de la plupart des équipements de la centrale. La centrale dispose essentiellement de cinq sources d’alimentation électrique
produites, soit en interne, soit en externe. Une seule est suffisante pour garantir le fonctionnement des matériels de sûreté.
Alimentation externe
• la ligne à haute tension de 400 000 V (400 kV), en fonctionnement normal, évacue l’énergie. Quand le réacteur est arrêté, cette ligne assure l’alimentation principale
de l’installation en fournissant de l’électricité provenant du réseau de distribution et produite ailleurs que sur le site.
• une seconde ligne à haute tension indépendante, de 225 000 V (225 kV) ou 400 000 V (400kV), est utilisée en cas de défaillance de l’alimentation principale.
Elle est appelée alimentation auxiliaire.
Alimentation interne
• Le groupe turbo-alternateur est aussi capable, en cas d’avarie des lignes extérieures d’assurer seul l’alimentation en électricité de tous les équipements de la
centrale. Cette situation est dite “d’îlotage”.
• deux alimentations de secours, deux puissants groupes électrogènes à moteur diesel (1 et 2 sur le schéma) sont prêts à fournir, en cas de défaillances des autres
alimentations, une tension de 6 600 V pour alimenter notamment tous les systèmes
de sûreté.
• une autre alimentation de secours, (selon l’installation, il s’agit d’un diesel ou d’une turbine à gaz) est commune à l’ensemble des réacteurs d’un même site
nucléaire. Selon le choix de l’exploitant, elle peut être raccordée électriquement au tableau électrique de chaque réacteur.
NB : certains systèmes importants pour la sûreté de l’installation disposent, en plus et par mesure de sécurité supplémentaire, de leur propre alimentation électrique (batteries, turbogénérateur).",
"Alimentation 
Electrique 1
Généralités
Schéma",Fonctionnement,,
"Alimentation électrique 2
en fonctionnement normal",Fonctionnement,"Alimentation externe
• la ligne à haute tension de 400 000 V (400 kV), en fonctionnement normal, évacue l’énergie. Quand le réacteur est arrêté, cette ligne assure l’alimentation principale de l’installation en fournissant de l’électricité provenant du réseau de distribution et produite ailleurs que sur le site.
• une seconde ligne à haute tension indépendante, de 225 000 V (225 kV) ou 400 000 V (400kV), est utilisée en cas de défaillance de l’alimentation principale.
Elle est appelée alimentation auxiliaire.
Alimentation interne
• Le groupe turbo-alternateur est aussi capable, en cas d’avarie des lignes extérieures d’assurer seul l’alimentation en électricité de tous les équipements de la
centrale. Cette situation est dite “d’îlotage”.
• deux alimentations de secours, deux puissants groupes électrogènes à moteur diesel (1 et 2 sur le schéma) sont prêts à fournir, en cas de défaillances des  autres alimentations, une tension de 6 600 V pour alimenter notamment tous les systèmes de sûreté.
• une autre alimentation de secours, (selon l’installation, il s’agit d’un diesel ou d’une turbine à gaz) est commune à l’ensemble des réacteurs d’un même site
nucléaire. Selon le choix de l’exploitant, elle peut être raccordée électriquement au tableau électrique de chaque réacteur.",
"Alimentation électrique 3
hors production",Fonctionnement,"Alimentation électrique en fonctionnement hors production : Lors d'un arrêt d'unité ou en cas d'avarie sur l'alternateur , la ligne de 400 KV fournit de l'énergie aux installations.",
Alimentation électrique 4,Fonctionnement,"Alimentation en situation d'ilotage : En cas de pertes des alimentations externes, l'énergie électrique dont à besoin l'unité est fournie par l'alternateur la tranche est dite ""ilotée""",
Alimentation électrique N4,Electricité,,
"Alimentation électrique N4
6,6 kV",Electricité,,
Alimentation électrique rotor alternateur,Electricité,"Alimentation électrique rotor alternateur : 
L’amenée de courant se fait par l’intérieur du rotor, coté excitation. Les bobines sont mise en série et de manière à éviter la magnétisation longitudinale du rotor ( forme en 8).
Traversées par puits de connexion.
Liaison électrique à forte intensité continue.
Etanchéité à l’hydrogène par joints élastomère. En cas de fuite, l’hydrogène passe dans l’amenée d’excitation ( TKJ ou bagues)",
Alimentation stabilisée,Electricité,"Alimentation stabilisée : Une alimentation stabilisée est un dispositif électronique, utilisant une régulation, permettant le réglage de la tension et du courant nécessaires au fonctionnement d'un appareil électrique ou électronique. Il est généralement conçu pour fonctionner en générateur idéal de tension et de courant. 
La relation entre la tension d'entrée Ve et celle de sortie Vs est la suivante: ΔVs = F0*ΔVe - R0*ΔIs. Avec Is l'intensité de sortie, F0 le facteur de stabilisation en tension et R0 la résistance interne de l'alimentation.",
Alliage,Matériels,"Alliage : matériau métallique obtenu en incorporant un ou plusieurs éléments à un métal de base.
Def 2 : produit métallurgique résultant de l’incorporation à un métal de base d’un ou de plusieurs éléments, métalliques ou non.",
Alliage ODS,Matériels,Alliage ODS (Oxide Dispersion Strengthened) : alliagerenforcé par des nanoparticules d’oxydes.,
Allotropique,Divers,Allotropique : un solide est sous une forme allotropique s’il a une structure cristalline thermodynamiquement stable dans certaines conditions de température et de pression. Une transformation allotropique est la transformation d’un solide d’une structure cristalline stable en une autre.,
ALMR,,ALMR : Advanced Liquid Metal Reactor.,
Alpha,RP,"Alpha : 
Particule émise lors d'une désintégration, comportant deux neutrons et deux protons. Sa forte énergie et sa masse importante lui donnent un parcours très court (""1 mm dans l'air).
Alpha-  Rayonnement composé de noyaux d'hélium 4, fortement ionisant mais très peu pénétrant. Une simple feuille de papier est suffisante pour arrêter sa propagation.",
Alpha,Neutronique,"Alpha : 
Particule émise lors d'une désintégration, comportant deux neutrons et deux protons. Sa forte énergie et sa masse importante lui donnent un parcours très court (""1 mm dans l'air).
Alpha-  Rayonnement composé de noyaux d'hélium 4, fortement ionisant mais très peu pénétrant. Une simple feuille de papier est suffisante pour arrêter sa propagation.",
ALS,Bâtiment,ALS : Accélérateur Linéaire de Saclay (Saclay Linear Accelerator – CEA).,
Alternateur 1,Matériels,Alternateur 0 - Principe  : Quand on fait bouger un aimant dans la bobine il ya création d'un courant induit alternatif - L'alternateur est accouplée à une turbine qui l'entraine à une vitesse de rotation de 1500 tr/mn.,
Alternateur 1,Matériels,"Alternateur : Il se compose principalement de :
1- rotor (circuit magnétique qui reçoit le bobinage appelé inducteur) constitué d'un circuit magnétique monobloc qui reçoit le bobinage appelé inducteur. Le bobinage rotor génère 4 pôles magnétiques.
2- Stator (qui reçoit le bobinage appelé induit, placé dans les encoches du circuit magnétique maintenu en place par la carcasse). Il est réalisé en 2 demi bobinage, équipés chacun d'une boite à bornes reliés en parallèle. Une partie du bobinage statorique (induit) est refroidie par une circulation d'eau désionisée c'est l'eau du stator.
3-système de réfrigération par balayage d'hydrogène sous pression mis en mouvement par des ventilateurs solidaires du rotor et l'extraction des calories est assurée par des réfrigérants hydrogène/eau. Un joint hydraulique (huile) permet de garantir l'étanchéité au niveau de l'arbre du rotor pour le maintien sous pression d'hydrogène et empêcher les entrées d'air.
4-circuit de remplissage et de vidange d'hydrogène  qui assure l'alimentation, le maintien en pression et le passage en CO2 (attention passage en azote dernièrement)
5-excitatrice à diodes tournantes qui produit le courant continu nécessaire au bobinage inducteur.
6-paliers équipés de coussinets supportant le rotor qui sont alimentés en huile par le système de graissage turbine.",
Alternateur 2,Matériels,,
Alternateur 3,Syst.fonct.,"Les circuits auxiliaires de l’alternateur 
  Système GST: Eau stator
  Système GRH: Refroidissement alternateur
  Système GRV: Remplissage, appoint, vidange (H2, CO2/N2)
  Système GHE: Huile étanchéité.",
Alternateur 4,Matériels,,
Alternateur 5,Matériels,,
"Alternateur 
1300 MW 
Généralités",Matériels,"Alternateurs : 
'-L'alternateur directement entrainé à 1500 t/mm par la turbine est une machine quadripolaire qui alimente le transformateur principal sous une tension de 20kV.
- L'enroulement du stator et les bornes du rotor sont refroidis par circulation interne d'eau minéralisée.
- Le rotor est refroidi par l'hydrogène directement en contact avec le cuivre à une pression de 4,8 bar, à écoulement combiné axial -radial par des sous encoches axiales alimentant en gaz froid les encoches de refroidissement radiales.
-l'excitation est assurée par un système tournant à 78 diodes montées en portes à faux sur le bout d'arbre libre de l'alternateur. L'induit directement relié aux diodes constitue une unité qui tourne à l'extérieur de l'inducteur fixe. L'excitation de cette excitatrice tournante est assurée par un shunt. Ces deux machines forment un système à 22 pôles et 39 phases qui fournit en fonctionnement normal 6823 Ampères sous 531 Volts.",
Alternateur Amiante,Matériels,"Alternateur Amiante  : L’amiante a été utilisée dans la fabrication des stators jusqu’en 1985 :
  - pour guiper les fils pleins et creux constitutifs des barres,
  - pour mastiquer les divergences à l’arrière des boites à eau des barres,
  - Pour mastiquer les têtes de bobines isolées à l’aide de ruban.
• Machines concernées:
  - tout le parc CP0/CP1 (amiante en liste de pièces)
  - le parc P4 (amiante en liste de pièces),
  - les parcs P’4 et N4  (doute sur la nature du guipage des fils creux des barres).",
Alternateur Barreau clavette,Matériels,Alternateur Barreau clavette :,
Alternateur conditionnement,Fonctionnement,"Alternateur conditionnement : 
1- AVANT L’ARRÊT
-L’arrêt est régi par la conduite. Cependant il faut s’assurer que l’alternateur sera dans de bonnes conditions pour la vidange gravitaire et le séchage au vide. --  Attention aux bornes
- Il est important de garder l’alternateur chaud en fermant progressivement les réfrigérants.
- Ne jamais couper le réfrigérant TKJ quand la machine tourne, même à vide.
- Préparer le balisage et les sas de protection.
- Pas de sécurité sans propreté.
- Prévoir des sur-bottes ou des chaussures spécifiques.
2- PENDANT L’ARRÊT
- Vérifier  les régimes et leur bonne application.
- Maintenir le chantier propre.
- Maintenir les bobinages au chaud et surtout au sec.
- S’assurer de l’absence de tension et sécuriser le jeu de barres, si intervention sur le bobinage ainsi que les bornes si déconnexion.
- En cas de sortie du rotor retirer (avant) les sondes de flux et tester l’isolation.
- Protéger les frettes en NMF3 de l’oxydation par des tapis chauffants.
3- PENDANT L'INTERVENTION
- S’assurer des actions à entreprendre et connaître leurs conséquences.
- N’introduire que le matériel nécessaire, le lister et contrôler sa sortie.
- Pas de pièces ou objets métalliques dans les poches.
- Protéger le bobinage des chocs: tapis, chiffons, écrans…
- Nettoyer de suite après chaque opération.
- N’utiliser que du matériel conforme.
- Ne pas se laisser distraire…",
Alternateur décomposition fonctionnelle,Fonctionnement,Alternateur décomposition fonctionnelle :,
"Alternateur 
excitation principe 1",Fonctionnement,,
"Alternateur 
excitation statique CP2 principe",Fonctionnement,Alternateur excitation statique CP2 principe :,
Alternateur circuit magnétique,Matériels,Alternateur circuit magnétique :,
Alternateur diagramme,Générateur Vapeur,"Alternateur diagramme : 
Voici les limites de la construction d’un diagramme de pilotage alternateur :
- LAI . Limite d’Angle Interne : Limite de stabilité naturelle de fonctionnement de l’alternateur couplée au réseau ( 90 °)
- LIS. Limite Intensité Stator :Limite l’échauffement stator
- LIR.Limite Intensité Rotor : Limite l’échauffement rotor (barres ) et fonction des capacités de l’excitatrice
- LIN :Limite Induction dans l’entrefer : Limite les pertes « fer » donc les échauffements des tôles magnétiques 
Autres limites physiques prises en compte pour la construction du diagramme
-  Limite Tension Stator : Evite le vieillissement prématuré des isolants 
-  Limite du gradient de courant rotor: Limite les dilatations différentielles entre enroulement rotorique et fût du rotor . Balourd 
 Limite liée à la fréquence :
 Limite liée à la température : Tenue des isolants et facilite le bouchage des conducteurs creux
 Limite liée aux vibrations",
Alternateur évolution,Matériels,Alternateurs évolutions :,
Alternateur Parc,Matériels,"Alternateur Parc : Le parc de production d'EDF comporte :
26 alternateurs de conception initiale ALSTOM de 1120 MVA, 24 kV, 1500 tr/mm (CP0-CP1 et Chinon B3/B4)
  8 alternateur de conception initiale CEM de 1210 MVA, 24 kV, 1500 tr/mm (CP2 hors Chinon B3/B4)
20 alternateurs de conception initiale ALSTOM de 1650 MVA, 20 kV, 1500 tr/mm (P4-P'4)
  4 alternateurs de conception initiale ALSTOM de 1710 MVA, 20 kV, 1500 tr/mm (N4)
Chaque alternateur d'origine ALSTOM comporte une excitatrice désignée ""TKJ"" de conception ALSTOM. 
Il sagit d'un alternateur polyphasé inversé à diodes tournantes. Les alternateurs d'origine CEM comportent un système d'excitation entièrement statique.",
Alternateur Projet,Divers,"Alternateur Projet  : Le parc des alternateurs des centrales 900MW, 1300MW et 1450MW (palier N4) cumule plus de 1000 années-machines d'exploitation. Avec le temps, les premiers signes de fatigue apparaissent.  Il faut donc envisager leur rénovation et rendre à l'exploitant des machines saines et fiables, avec un impact minimal sur la durée des arrêts des unités. Le programme de maintenance a pour objectif la rénovation des stators d'alternateurs. Celle-ci est réalisée par remplacement du bobinage du stator ou par permutation avec un stator préalablement rénové.",
Alternateur refroidissement,Matériels,"Refroidissement de l'alternateur : 
Les bobinages de l'alternateur ont une résistance Ohmique qui n'est pas nulle, ces bobinages traversés par des courants libèrent des calories : 
P = r . I 2
- Un refroidissement de réfrigération refroidit l'ensemble fixe et tournant, par balayage d'hydrogène sous pression, mis en mouvement grâce à des ventilateurs solidaires du rotor. L'extraction des calories est réalisée grâce à des réfrigérants hydrogène / eau (eau désionisée)
- Un joint hydraulique (huile) permet de garantir l'étanchéité au niveau de l'arbre du rotor, pour le maintien sous pression d'hydrogène et empêcher les entrées d'air.",
"Alternateur 
STAR",Matériels,"S.T.A.R. : Système de Traitement Accéléré de Rebobinage
Avantages
Amélioration de la fiabilité et de la maintenance;
Suppression du risque de bouchage des barres par l’utilisation de conducteurs creux en inox.
 Nouvelle conception permettant un :
 - soutènement rigide monobloc,
 - système dilatable,
 - calage surdimensionné des développantes,
 - refroidissement accru des barres.",
Alternateur Surveillance,Fonctionnement,Alternateur surveillance :,
Alternateur test ELCID,Fonctionnement,Alternateur test ELCID :,
Alternateur Spécificités technologiques,Matériels,Alternateur Spécificités technologiques :,
"Altimétrique 
Référentiel",Divers,"Altimétrique référentiel : Les côtes, altitudes et niveaux d'eaux peuvent être exprimés par rapport à différents référentiels altimétriques. Pour ce qui concerne les niveaux d'eau en voici trois à titre d'exemple : 
1- Le référentiel carte marine CM ou Zéro étiage, dont le zéro correspond au niveau des plus basses eaux.
2- Le référentiel NGF-N (pour Nivellement Général de la France - Normal ) ou IGN69, utilisé le plus couramment aujourd'hui sur les cartes géographiques et donnée altimétriques.
3- Le référentiel NGF-O (pour Ortho métrique) ou NGF-Lallemand, plus ancien, mais encore utilisé.",
Aluminium,Matériels,"Aluminium : élément chimique de symbole Al et de numéro atomique13, se trouvant en quantité importante sur la Terre (1,5 de la masse totale) ; il s’agit d’un métal argenté très malléable, très remarquable par sa résistance à l’oxydation et sa faible densité.",
Aluminosilicate,Matériels,Aluminosilicate: silicate contenant de l’aluminium (Al).,
ALWR,Filière,ALWR : Advanced Light Water‐cooled Reactor (USA),
Am,Chimie,"Am : Américium (voir Américium - 241)- Américium, numéro atomique = 95, du nom de l'Amérique, élément actinide radioactif découvert par Seaborg en 1944 (prix Nobel de chimie en 1951), il est utilisé dans certains types de détecteurs de fumées",
AM,Sygma,AM : Amplificateur (bigramme sygma),
AM,Divers,AM : Anomalie Matériel (DI),
AM,RP,"AM : Actinides Mineur - Corps formés lorsque les noyaux d'uranium absorbent les neutrons sans se briser. Ils sont radioactifs à vie longues. Ce sont des noyaux lourds formés en relativement faibles quantités dans un réacteur par captures successives de neutrons à partir des noyaux du combustible . Ces isotopes à vie longue sont principalement le neptunium (237), l'américium (241, 243) et le curium (243, 244, 245). Il sont issus de l'action tendant à rendre radioactifs certains nucléides, en particulier au sein des matériaux de structure des réacteurs, par bombardement par des neutrons ou d'autres particules. Équivalent étranger : minor actinide.
ils sont appelés ainsi car on les trouve en proportion plus faible dans le combustible irradié que les actinides principaux que sont le plutonium et l'uranium, ce sont pour la plupart des émetteurs alpha, ils ont cependant une activité spécifique qui peut être élevée, par exemple pour l'américium et le curium elle se chiffre en milliers de Sv/g à l'égal du plutonium, l'ensemble des réacteurs français produit de l'ordre d'une tonne d'AM chaque année.",
AM1,Matériels,AM1 : vanne manuelle.,
AMD,Matériels,AMD : Automate de Manœuvre Déclencheur.,
AMDE,Fonctionnement,AMDE : Analyse des Modes de Défaillance et de leurs Effets.,
AMDEC,Fonctionnement,AMDEC : Analyse des Modes de Défaillance et de leurs Effets et de leur Criticité .,
AMELIE,Divers,"AMELIE : Améliorer avec les MEtiers la Logistique en Intégrant les Evolutions : 
Un immense entrepôt de stockage mis en service l’an passé à Velaines (Meuse) est le cœur du système. Cette plate-forme logistique pour les 58 réacteurs du parc nucléaire français doit gérer toutes les pièces de rechange de moins de 10 tonnes nécessaires aux 19 centrales nucléaires du pays. Cette installation va progressivement stocker sur 45 000 m2 quatre millions de pièces (environ 200 000 références). Auparavant, chaque unité de production disposait de capacités de stockage du matériel de rechange plus un magasin général situé à Creil dans l’Oise.
Désormais, avec AMELIE, le stock est rassemblé et entreposé dans un magasin unique.",
Amélioration continue,Qualité,"Amélioration continue : Activité régulière permettant d'accroître la capacité à satisfaire aux exigences.
L'amélioration continue des résultats est pilotée selon les 4 étapes de la boucle dynamique : 
1- Planifier : définir les objectifs, définir les actions pour atteindre les objectifs, affecter les ressources humaines et matérielles, planifier organiser, établir des plans d'action.
2- Déployer : réaliser et suivre l'avancement des plans d'actions.
3- Contrôler : contrôler, vérifier, auditer.
4- Améliorer : traiter les dysfonctionnements, améliorer les processus et les ""produits"".",
Américium-241,Neutronique,"Américium-241 : Fils du Pu-241, sa durée de demi-vie physique est de 458 années est sa durée de demi-vie réelle (dans le corps humain) est de 100 ans. L'Am-241 est un générateur de particules Alpha et nécessite des détecteurs spéciaux et délicats. L’américium (symbole Am) est un élément artificiel qui fait partie d’une série d’éléments lourds, les transuraniens. Comme tous ces éléments, il possède de nombreux isotopes, tous radioactifs. Il se forme dans les réacteurs nucléaires par capture neutronique de l’uranium et du plutonium 239. Il se forme aussi par décroissance radioactive du plutonium 241.",
AMES,Entité,"AMES : European Action Group on RPV Materials irradiation Effects and Studies. Fait partie d'un groupe de 3 programmes managés par la Communauté Européenne (NESC, ENIQ, AMES)",
AMI,Bâtiment,"AMI : Atelier des Matériaux Irradiés (Irradiated materials facility – EDF) -Atelier des Matériaux Irradiés, Atelier de cellules chaudes situé sur le site de Chinon, il permet d'intervenir à l'aide de télémanipulateurs sur des matériels irradiés.",
Ammoniaque (NH4OH),Physique,"Ammoniaque (NH4OH) : Chimie de l'eau - l'eau de circulation (traitement des micro-organisme - amibes et/ou lésionnelles) par de l'ammoniaque (NH4OH) et chlore (NaOCI).
Def 2 : mélange gazeux d’azote et d’hydrogène, à l’odeur piquante.",
Amorcage VORTEX,Fonctionnement,"Amorcage VORTEX  : 
Fonctionnement en PTB du RRA : Les risques d'un amocage VORTEX 
- Niveau bas  -> Formation spirale avec aspiration bulles d’air
- Cavitation pompes RRA et vannes réglantes
- Perte de débit par désamorçage des pompes
- Risque de dégradation des pompes (détection par intensité du courant de la pompe)

Détection de vortex à l’aspiration des pompes RRA (Surveillance)
Analyse du signal de pression refoulement pompes (RRA124/224MP)
Alarmes RRA983/986AA (présence vortex à l’aspiration des pompes)
Mesures d’intensité du moteur des pompes RRA
Appoint automatique si perte de RRA par vortex(Protection)
Alarme + Prélignage appoint automatique RIS
Mise en service automatique des vannes d’injection BF + RIS031PO",
Amorphisation,Divers,"Amorphisation : amener à un état caractérisé par l’absence d’ordre dans la répartition des particules de matière, par opposition à l’état cristallin.",
Ampère (A),Physique,"Ampère (A) : Unité d’intensité d’un courant électrique qui doit son nom à André-Marie Ampère (1775-1836), figure marquante de l’électromagnétisme. 
Unité de mesure d'intensité d'un courant électrique - L'intensité est pour l'électricité ce que le débit est pour l'eau.
C'est l'intensité d'un courant électrique constant qui maintenu dans deux conducteur parallèles rectilignes de longueur infinie de section circulaire négligeable placés à une distance de 1mètre l'un de l'autre dans le vide produirait entre ces deux conducteurs une force égale à 2 x 10 -7 newton par mètre de longueur.",
Ampholyte,Physique,Ampholyte : Entité possédant à la fois la fonction acide et la fonction basique.,
AMPQ,Qualité,AMPQ : AMmélioration de la Qualité des Etudes.,
AMR,Qualité,AMR : Analyse Méthodique des Risques.,
AMR,Fonctionnement,AMR : Arrêt Manuel Réacteur.,
AMR,Sigles US,AMR : Automated Meter Reading (compteur relevable à distance),
AMSAC,Sigles US,AMSAC : ATWS Mitigating System Actuation Circuitry,
AMT,Divers,AMT : Académie des Métiers d'Arrêt.,
AMTC,Entité,AMTC : Agence de Maintenance Thermique Centre.,
AN,Sygma,AN : Alimentation stabilisée (bigramme sygma),
AN,Electricité,"AN : Analogique (signaux, régulation d'électronique)",
AN,Etat tranche,AN : Arrêt Normal. Copyright ©  EDF-CNEPE-Hervé Chevillon,
AN/GV,Etat tranche,"AN/GV : Arrêt Normal sur Générateur de Vapeur (température 18O° et pression 30  bars).Arrêt Normal sur GV, l'un des 6 domaines d'exploitation défini dans les STE de la DEPT, il comprend 3 sous domaines : arrêt intermédiaire aux conditions RRA (RRA isolé), arrêt intermédiaire diphasique sur GV, et arrêt à chaud (cf. Mémento de la Sûreté Nucléaire en Exploitation), EDF, DEPT.",
AN/RRA,Etat tranche,"AN/RRA : Arrêt Normal sur RRA (Réacteur Réfrigération a l'Arrêt)- Arrêt Normal sur RRA, l'un des 6 domaines d'exploitation défini dans les STE de la DEPT, il comprend 3 sous domaines : arrêt à froid normal (p>5 bar), arrêt intermédiaire monophasique, et arrêt intermédiaire aux conditions RRA (RRA connecté) (cf. Mémento de la Sûreté Nucléaire en Exploitation), EDF, DEPT.",
ANA,Electricité,ANA : diminutif de ANAlogique.,
Anaérobie,Divers,Anaérobie : La fermentation anaérobique correspond à la dégradation biologique par des micro-organismes de la matière organique fermentescible en absence d’oxygène.,
Analyse des risques,Sécurité,"Analyse des risques : Elle consiste à : (pour plus de détails voir ""ADR 1"" et ""ADR2"")
- identifier les dangers, 
- estimer les risques, 
- évaluer (mesurer par rapport à leur occurrence et gravité pour déterminer leur acceptabilité)
- définir les mesures de prévention, 
Les ETAPES : 
1-décrire la situation de travail et les finalités, 
2-recenser les exigences, 
3-recenser les moyens mise en œuvre pour respecter les exigences, 
4-identifier ou imaginer les scénarios à risques, 
5-peser les risques, 
6- définir des mesures préventives (les parades).
Suivant la loi 91-1414 du  décembre 1991, le décret 92-158 du 20 février 1992 et la doctrine d'analyse des risques de la DPN, elle concerne tous les acteurs et tous les niveaux de responsabilité, elle est obligatoire pour tous. Pour : 
- limiter les risques, 
- impact sur les différents domaines de performances.",
Analyses d'Exigences Fonctionnelles de Sûreté,Divers,Analyses d'Exigences Fonctionnelles de Sûreté (AEFS) : Les « Analyses d’exigences fonctionnelles de sûreté » ont pour objectif de vérifier la suffisance des exigences de classement (mécanique et électrique) et de qualification à l’ambiance des matériels « strictement nécessaires » au respect des critères de sûreté.,
Analyse fonctionnelle,Divers,"Analyse fonctionnelle : Démarche qui consiste à recenser, caractériser, hiérarchiser les fonctions d'un système automatisé.",
ANC,Sigles US,ANC : American Nuclear Corporation.,
Ancrage,Matériels,"Ancrage  : Solidarisation définitive d’un élément de construction à fixer, avec la structure porteuse en béton. Dispositif de fixation sur le génie civil du châssis sur lequel est fixé le groupe de pompage pae exemple.
Les tirants d’ancrage peuvent être: 
-Présollicités (ou actifs): quand ils sont mis en tension lors de la réalisation de l'ancrage. 
-Non présollicités (ou passifs): quand ils sont sollicités par des efforts de traction liés à des mouvements ou des déformations du massif rocheux. 
-Partiellement présollicités: quand ils sont mis en tension lors de la réalisation de l'ancrage, avec une tension inférieure à celle prévue durant le fonctionnement.",
AND,Environnement,AND : Arrêt Négocié à la Demande du site.,
ANDB,Informatique,"ANDB : Banque de données d'alphanumériques contenant tous les alphanumériques disponibles sur le système CE. Lié à SES. [Note d'étude Contrôle Commande ""E T IG ME 92 054 A""",
ANDRA,Entité,"ANDRA : Agence Nationale pour la gestion des Déchets Radioactifs (French agency for 
radioactive waste management) – le g de gestion n'apparaissant nulle part, il serait donc plus juste de dire qu'il s'agit de l'agence nationale pour les déchets radioactifs.Agence Nationale de gestion des Déchets RAdioactifs, France. L'ANDRA, créée par l'arrêté du 7 novembre 1979, au sein du CEA, a été transformée en EPIC par la loi du 30 décembre 91. Elle a parmi ses missions (art. 13  de la loi) d'assurer le stockage, la gestion et la recherche de futurs sites de stockage. Elle procède de plus chaque année depuis 1993 (à la suite du rapport Desgraupes de 1991), à un inventaire des déchets radioactifs. En 1997, 1064 sites de détenteurs de déchets potentiels d'activité supérieure à 1 GBq étaient répertoriés (soit l'équivalent de 27 mg de radium, limite fixée par l'ANDRA pour des raisons pratiques), la loi n'oblige pas les détenteurs de déchets potentiels à les déclarer à l'ANDRA,  il existe en outre une liste de 706 ""petits producteurs"" détenteurs de déchets d'activité inférieure à 1 GBq, (cf. Inventaire national des déchets radioactifs, ed. 1997).",
ANE,RP,ANE : Assemblage Non Etanche (STE radio-chimique).,
ANF,Entité,ANF : Advanced Nuclear Fuel (Allemagne),
ANG,Syst.fonct.,ANG : Alimentation Normale des Générateurs de vapeur. (Main feedwater system).,
Angle interne alternateur,Fonctionnement,"Angle interne : c’est l’image entre la tension à vide et la tension en charge. 
 -  Le rotor se comporte comme un aimant tournant, 
 -  Le champ magnétique tournant du stator est assimilable à un aimant tournant.
 Les deux doivent avoir la même vitesse de rotation pour que le régime soit stable .
 Les forces( attraction, répulsion ) entre aimant sont de types élastiques, l’angle formé entre les deux vitesses de rotation s’appelle l’angle interne .
 Si les efforts deviennent excessif ( angle interne trop important ), il y aura un décrochage (rupture de synchronisme)
 DIMINUER L’EXCITATION REDUIT CETTE FORCE 
LAI . Limite d’Angle Interne : Limite de stabilité naturelle de fonctionnement de l’alternateur couplée au réseau ( 90 °)",
Angström (Å),Physique,Angström (Å) : 1 Å = 10-10 mètre.,
Angström (Å),Neutronique,Angström (Å) : 1 Å = 10-10 mètre.,
AN/GV,Etat tranche,AN/GV : Arrêt Normal sur Générateur de Vapeur (température 180° celcius et pression 30  bars).,
AN/RRA,Etat tranche,AN/RRA : Arrêt Normal sur RRA (Réacteur Réfrigération a l'Arrêt).,
Anion,Physique,Anion : Ion négatif.,
Anneau béton,Matériels,"Anneau béton : BR , c'est un support fixe situé dans le local du couvercle des sites CPY (à 4, 65 m). Il est constitué d'un anneau béton dont le seul rôle est d'assurer la protection des rayonnements, et de 3 pieds supports sur lesquels repose le couvercle. Les pieds sont répartis à 120 ° et situés à 30 cm environ de l'anneau. La hauteur des pieds est telle qu'un espace de 5mm environ subsiste entre la bride du couvercle et le haut de l'anneau béton. Une gouttière métallique sur le pourtour de l'anneau , sert à entreposer les joints du couvercle. Elle sert également de chemin de roulement pour la machine de nettoyage du plan de joint du couvercle.",
Anneau de plomb,Matériels,"Anneau de plomb : Situation BR stockage couvercle cuve - C'est un support mobile présent sur tous les sites. Il est constitué d'un anneau de plomb dont le seul rôle est d'assure  la protection contre les rayonnements de 3 pieds supports sur lesquels repose le couvercle et de 3 tiges creuses, les tiges de centrages, servant à solidariser le couvercle et l'anneau de plomb à l'aide d'outils de liaison. A la partie inférieure, quatre logements correspondent aux 4 broches d'alignement de la cuve. 
La longueur est telle qu'un petit espace subsiste entre le couvercle et l'anneau. Une gouttière métallique sur le pourtour de l'anneau sert à entreposer les joints du couvercle. 
La masse de l'anneau de plomb est d'environ : 9,2 Tonnes. Copyright ©  EDF-CNEPE-Hervé Chevillon",
Anode,Electricité,"Anode : Électrode à laquelle a lieu une réaction d’oxydation. Il s’agit du pôle négatif dans une pile électrique. Dans une cellule d’électrolyse, la polarité est inversée et l’anode constitue le pôle positif.",
Anoxie,Sécurité,"Anoxie  : Diminution ou suppression de l'oxygène délivré au niveau des tissus. Elle entraîne des altérations cellulaires plus ou moins grave. 
Risque Anoxie - tout agent doit : 
Avant l'accès : 
- s'assurer de la mise en service de la ventilation lorsqu'elle existe,
- porter une protection isolante, à masque en surpression, 
- se munir d'un oxygène-mètre individuel. 
Au moment de l'accès : 
- controller la qualité de l'atmosphère (la teneur en O2 doit être > à 18 %), 
- si la teneur n'est pas respectée, évacuer, interdire l'accès au local et alerter le chargé d'exploitation,  
- si le teneur est respectée en tout point du local, abandonner la protection respiratoire.
Au cours des travaux : 
- si la teneur devient < à 18 % porter la protection respiratoire isolante, évacuer, interdire l'accès au local et alerter le chargé d'exploitation.",
